id_venta,fecha,cliente,ciudad,producto,categoria,cantidad,precio_unitario,total_venta,metodo_pago
39,2024-01-29,Caridad Anguita Ferreras,Cádiz,Laptop,Periféricos,9,937.56,8438.04,PayPal
40,2024-01-20,Moisés Mateu-Echeverría,Córdoba,Auriculares,Tecnología,2,1489.34,2978.68,PayPal
41,2024-12-25,Sandra Maristela Salinas Valenzuela,Melilla,Memoria RAM,Accesorios,2,746.46,1492.92,Transferencia
42,2023-08-14,Cipriano Gómez Prada,Guadalajara,Monitor,Periféricos,8,470.9,3767.2,Transferencia
43,2024-05-06,Emilio del Carnero,Almería,Monitor,Accesorios,1,1227.2,1227.2,PayPal
44,2024-10-08,Nazaret Lillo Cervantes,Ciudad,Teclado,Tecnología,8,1875.74,15005.92,Efectivo
45,2025-03-25,Eleuterio de Benet,Almería,Memoria RAM,Periféricos,5,820.72,4103.6,Transferencia
46,2024-12-17,Evelia Serna,Zaragoza,Memoria RAM,Periféricos,5,45.54,227.7,Efectivo
47,2025-02-14,Cristóbal Amador Domingo,Sevilla,Tablet,Accesorios,5,1338.88,6694.4,PayPal
48,2025-02-15,Domingo Garcia Espinosa,Granada,Monitor,Periféricos,1,1628.19,1628.19,Tarjeta
49,2023-04-19,Rubén Font Anguita,La Rioja,Mouse,Oficina,4,1617.71,6470.84,Tarjeta
50,2024-10-16,Ale Perla Chamorro Revilla,Cáceres,Webcam,Oficina,2,1897.83,3795.66,Transferencia
51,2023-08-18,León Lázaro Armengol Acedo,Barcelona,Teclado,Oficina,5,2190.0,10950.0,Tarjeta
52,2023-08-07,Adán Raya Estévez,Soria,Disco SSD,Accesorios,10,1299.58,12995.8,PayPal
53,2023-03-31,Hilario Aitor Escudero Castrillo,Castellón,Impresora,Tecnología,3,458.62,1375.86,Tarjeta
54,2023-04-13,Poncio Anselmo Julián Álvaro,Burgos,Laptop,Periféricos,7,535.09,3745.63,Transferencia
55,2023-02-17,Ana Belén Pulido Merino,León,Mouse,Accesorios,5,1382.32,6911.6,Transferencia
56,2024-09-01,Augusto del Bellido,Palencia,Impresora,Accesorios,10,363.27,3632.7,Transferencia
57,2024-03-20,Soledad del Cañellas,La Rioja,Tablet,Tecnología,4,2014.97,8059.88,Efectivo
58,2024-08-20,José Antonio Durán Portillo,Lleida,Impresora,Oficina,6,2295.19,13771.14,PayPal
59,2024-10-15,Berta Grau Gomila,Álava,Tablet,Tecnología,7,2231.73,15622.11,Tarjeta
60,2024-03-21,Anastasio Eustaquio Pardo Cabanillas,Toledo,Disco SSD,Accesorios,3,2499.08,7497.24,Efectivo
61,2023-07-07,Miguel Ángel Jacobo Alberdi Lumbreras,Castellón,Auriculares,Accesorios,7,513.61,3595.27,Tarjeta
62,2023-07-09,Fabricio Farré Borrego,Vizcaya,Webcam,Periféricos,8,1341.86,10734.88,PayPal
63,2024-04-12,Anastasio Salazar Solera,Baleares,Webcam,Tecnología,10,497.86,4978.6,Tarjeta
64,2024-07-06,Fito Cazorla Carranza,La Coruña,Impresora,Tecnología,6,1644.1,9864.6,Efectivo
65,2025-03-05,Luciana Chaves Melero,Zaragoza,Teclado,Accesorios,1,1744.12,1744.12,PayPal
66,2025-01-17,Jonatan Nilo Manrique Requena,Soria,Monitor,Oficina,7,1266.26,8863.82,Tarjeta
67,2024-01-17,Fabio Gaya Trillo,Burgos,Auriculares,Accesorios,1,939.13,939.13,Efectivo
68,2023-02-14,Jose del Marín,Cáceres,Tablet,Tecnología,8,2359.69,18877.52,Transferencia
69,2023-03-16,Delia Torrens-Conde,Zamora,Mouse,Periféricos,7,671.69,4701.83,Efectivo
70,2023-06-28,Arsenio Echeverría Quiroga,Huesca,Teclado,Tecnología,9,172.66,1553.94,Efectivo
71,2024-07-31,Mireia Lastra Silva,Burgos,Teclado,Oficina,8,103.05,824.4,Efectivo
72,2023-01-25,Amarilis Perea-Carretero,Málaga,Auriculares,Periféricos,8,2030.82,16246.56,Tarjeta
73,2023-02-02,Iker Roig Pavón,Valencia,Mouse,Accesorios,10,291.51,2915.1,Transferencia
74,2025-03-23,Herminia Salgado Molins,Huelva,Auriculares,Accesorios,10,2074.89,20748.9,PayPal
75,2024-10-03,Lidia Espada Medina,Melilla,Disco SSD,Periféricos,2,1090.56,2181.12,Tarjeta
76,2024-02-08,Máxima Mendez Valera,Ávila,Webcam,Tecnología,10,2396.69,23966.9,Transferencia
77,2023-11-24,Osvaldo Pallarès Roda,Baleares,Laptop,Accesorios,7,307.56,2152.92,PayPal
78,2025-01-20,Damián Garmendia-Oliver,Burgos,Teclado,Oficina,6,1443.95,8663.7,Efectivo
79,2025-04-13,Arturo del Jove,Las Palmas,Mouse,Accesorios,7,1557.06,10899.42,Transferencia
80,2023-09-21,Aristides Muñoz Arnaiz,Guipúzcoa,Laptop,Accesorios,3,1766.72,5300.16,Efectivo
81,2023-11-07,Benigna Pozo Navarrete,Palencia,Webcam,Accesorios,9,458.35,4125.15,Efectivo
82,2023-09-06,Aránzazu Pastor Jódar,Cáceres,Laptop,Accesorios,5,1310.88,6554.4,Transferencia
83,2024-06-17,Geraldo Soler Arnaiz,Murcia,Mouse,Oficina,8,168.29,1346.32,Efectivo
84,2024-01-24,Gregorio Figueroa Martin,Girona,Monitor,Periféricos,2,454.3,908.6,Transferencia
85,2023-03-21,Cayetana Lucas-Martin,Castellón,Monitor,Accesorios,9,1077.3,9695.7,PayPal
86,2024-09-12,Jeremías Samper Gonzalez,Cádiz,Impresora,Oficina,10,928.37,9283.7,Tarjeta
87,2024-11-03,Salomón Blanca,Navarra,Mouse,Periféricos,7,1108.28,7757.96,Efectivo
88,2024-06-27,Evita Vigil Guerra,Cádiz,Monitor,Periféricos,6,15.8,94.8,Transferencia
89,2024-01-15,Gabino Tejedor,Álava,Impresora,Tecnología,10,935.93,9359.3,Transferencia
90,2024-05-28,Loida Expósito Plaza,Guipúzcoa,Auriculares,Oficina,1,2052.86,2052.86,Efectivo
91,2023-12-05,Simón Zapata,La Coruña,Laptop,Accesorios,7,41.18,288.26,PayPal
92,2023-07-13,Asunción Redondo Jaume,Ceuta,Tablet,Accesorios,7,671.84,4702.88,Transferencia
93,2023-01-29,Edmundo de Valencia,Murcia,Monitor,Oficina,7,1528.21,10697.47,PayPal
94,2023-06-21,Chema Rincón Navarrete,Cantabria,Webcam,Oficina,3,1860.64,5581.92,Efectivo
95,2025-04-06,Leandra Fernandez Camps,Girona,Webcam,Periféricos,8,2138.48,17107.84,Tarjeta
96,2025-01-07,Onofre Saura Arteaga,La Rioja,Auriculares,Periféricos,8,293.53,2348.24,Transferencia
97,2023-09-28,Modesta Coello Burgos,Murcia,Mouse,Oficina,10,1454.75,14547.5,Tarjeta
98,2024-01-01,Edelmira Rius Jáuregui,Melilla,Auriculares,Accesorios,8,1579.57,12636.56,Tarjeta
99,2024-06-29,Natanael Bou Escribano,Santa Cruz de Tenerife,Disco SSD,Accesorios,3,2162.07,6486.21,PayPal
100,2024-05-13,Encarna Ariza Pallarès,Cádiz,Monitor,Oficina,8,2266.34,18130.72,Efectivo
101,2023-12-01,Jessica Amores Benito,Madrid,Teclado,Tecnología,2,486.91,973.82,Efectivo
102,2025-01-07,Leandra Gargallo Escolano,Cáceres,Mouse,Oficina,1,77.67,77.67,Tarjeta
103,2025-01-10,Zacarías Sastre Carrillo,Zamora,Impresora,Accesorios,9,1576.41,14187.69,Efectivo
104,2023-02-25,Ámbar Gonzalo Solsona,Cáceres,Tablet,Tecnología,5,2033.14,10165.7,Tarjeta
105,2024-03-19,Chita Ortuño Gracia,Jaén,Teclado,Accesorios,5,1372.34,6861.7,Tarjeta
106,2024-09-18,Jeremías Medina Simó,Almería,Disco SSD,Periféricos,7,411.88,2883.16,Efectivo
107,2024-07-25,Donato de Expósito,Tarragona,Memoria RAM,Oficina,7,640.44,4483.08,PayPal
108,2023-05-17,Conrado de Gutiérrez,Ciudad,Impresora,Periféricos,7,1678.28,11747.96,Efectivo
109,2024-03-29,Estrella Mínguez Aguado,Palencia,Monitor,Tecnología,5,815.59,4077.95,Tarjeta
110,2024-11-09,Angelino del Mendizábal,Toledo,Teclado,Periféricos,3,901.8,2705.4,Efectivo
111,2024-03-19,Patricia Arnau Ocaña,Cádiz,Tablet,Periféricos,2,2181.97,4363.94,Efectivo
112,2024-08-20,Luisa Cabello Martorell,Barcelona,Monitor,Oficina,7,630.48,4413.36,Efectivo
113,2025-03-16,Rodrigo Meléndez Olmedo,Guipúzcoa,Tablet,Oficina,9,2176.55,19588.95,Tarjeta
114,2023-05-19,Antonia Llano Ibáñez,Baleares,Memoria RAM,Tecnología,2,871.94,1743.88,Tarjeta
115,2024-03-25,Benigna Garcia Bas,Ciudad,Laptop,Oficina,3,1550.74,4652.22,PayPal
116,2023-11-20,Bernabé Perelló Padilla,Guipúzcoa,Memoria RAM,Oficina,4,1583.33,6333.32,PayPal
117,2025-03-19,Omar Espejo Barrios,Badajoz,Mouse,Tecnología,7,753.91,5277.37,Tarjeta
118,2024-09-26,Alondra del Valenciano,Asturias,Laptop,Accesorios,8,384.18,3073.44,Transferencia
119,2023-03-31,Heriberto Arana,Las Palmas,Teclado,Oficina,9,891.1,8019.9,Efectivo
120,2024-03-02,Francisco Jose Rodrigo Narváez Tirado,Ávila,Webcam,Tecnología,8,967.66,7741.28,Tarjeta
121,2023-06-03,Agustina Álamo Miguel,Ourense,Laptop,Oficina,2,2010.03,4020.06,Tarjeta
122,2023-08-31,Mariano Quintero Atienza,Sevilla,Mouse,Tecnología,3,1168.76,3506.28,PayPal
123,2023-04-13,Delia de Jódar,Granada,Auriculares,Oficina,9,2172.56,19553.04,Efectivo
124,2024-07-20,Néstor Alonso-Mancebo,Albacete,Monitor,Periféricos,4,1488.56,5954.24,PayPal
125,2023-09-14,Felisa Ruiz,León,Monitor,Accesorios,6,2318.77,13912.62,Transferencia
126,2023-03-17,Chema del Lerma,Soria,Disco SSD,Oficina,8,860.06,6880.48,Tarjeta
127,2023-03-27,Bruno Cruz,Asturias,Mouse,Accesorios,10,670.71,6707.1,Transferencia
128,2023-05-04,Álvaro Botella Téllez,Lugo,Teclado,Tecnología,1,2321.24,2321.24,PayPal
129,2024-05-06,Nidia Otero Franch,Valladolid,Teclado,Oficina,10,245.28,2452.8,Tarjeta
130,2025-04-23,Estefanía Salamanca Goicoechea,Vizcaya,Memoria RAM,Tecnología,4,2317.93,9271.72,Transferencia
131,2024-07-13,Donato Tormo Peiró,La Rioja,Webcam,Tecnología,3,1768.49,5305.47,Transferencia
132,2023-03-05,Claudio de Bejarano,Sevilla,Monitor,Accesorios,4,2132.29,8529.16,Tarjeta
133,2023-01-25,Vanesa Sebastián Nuñez,Segovia,Impresora,Accesorios,7,1541.63,10791.41,Tarjeta
134,2024-10-08,Cristóbal Gascón Plaza,Sevilla,Tablet,Accesorios,3,1192.43,3577.29,Efectivo
135,2024-05-19,Fabián del Falcón,Cádiz,Laptop,Periféricos,2,761.53,1523.06,Efectivo
136,2025-04-13,Ruth del Aliaga,Cuenca,Tablet,Periféricos,10,1906.57,19065.7,PayPal
137,2025-04-08,Calixta Quiroga Martín,Baleares,Auriculares,Accesorios,5,906.85,4534.25,PayPal
138,2023-12-29,Ester Carpio-Carreño,Córdoba,Disco SSD,Oficina,7,1611.77,11282.39,Efectivo
139,2023-12-12,Luis Valls,La Coruña,Teclado,Tecnología,4,277.66,1110.64,Tarjeta
140,2024-12-21,Pascuala Villa,Lleida,Webcam,Accesorios,7,1587.16,11110.12,Efectivo
141,2024-10-07,Ana Belén Fernández Alegria,Soria,Disco SSD,Oficina,5,1003.17,5015.85,Tarjeta
142,2023-02-20,Teresita Rafaela Ribes Flores,León,Webcam,Periféricos,1,863.23,863.23,Efectivo
143,2023-11-09,Anastasio Mínguez,Huelva,Webcam,Periféricos,7,1416.79,9917.53,Transferencia
144,2024-04-08,Victor del Amo,Segovia,Auriculares,Tecnología,9,1955.89,17603.01,PayPal
145,2025-03-24,Jovita Salcedo Rodriguez,Girona,Disco SSD,Accesorios,3,57.81,173.43,Transferencia
146,2023-05-15,Epifanio Nico Gámez Alberola,Barcelona,Auriculares,Periféricos,9,921.4,8292.6,Transferencia
147,2023-08-07,Inmaculada Jaén,Zamora,Teclado,Oficina,8,1185.17,9481.36,Transferencia
148,2023-12-09,Adelina Rios Ochoa,Valladolid,Tablet,Accesorios,7,1646.28,11523.96,Tarjeta
149,2024-10-08,Jorge Navarrete,Zaragoza,Auriculares,Tecnología,10,73.51,735.1,PayPal
150,2025-04-19,Segismundo Grande,Salamanca,Auriculares,Oficina,7,778.52,5449.64,PayPal
151,2023-02-08,Fabricio Ortega Lucas,Vizcaya,Impresora,Accesorios,9,1520.63,13685.67,PayPal
152,2024-12-17,Elodia Consuelo Sevillano Conesa,Murcia,Impresora,Tecnología,9,558.58,5027.22,Tarjeta
153,2023-01-01,Leandra Higueras Exposito,Badajoz,Mouse,Oficina,5,1077.0,5385.0,Transferencia
154,2023-09-23,Vinicio Sancho Mascaró,Salamanca,Tablet,Periféricos,8,1871.1,14968.8,Efectivo
155,2023-01-05,Ricarda Valle Marquez,Cáceres,Memoria RAM,Tecnología,9,1477.55,13297.95,Transferencia
156,2024-05-14,Carmen Botella Palmer,Ourense,Teclado,Tecnología,10,744.89,7448.9,Tarjeta
157,2023-01-12,Iker Paz Agustí,La Rioja,Teclado,Accesorios,10,2221.55,22215.5,Tarjeta
158,2023-06-18,Macario Cabeza Perea,Ourense,Teclado,Periféricos,5,1122.74,5613.7,Transferencia
159,2023-11-02,Aureliano Pardo-Folch,Albacete,Impresora,Tecnología,8,805.01,6440.08,Transferencia
160,2023-01-14,Ruperto Ponce Perales,Madrid,Tablet,Accesorios,8,903.04,7224.32,Tarjeta
161,2024-11-23,Gastón Torrents Fajardo,Ávila,Disco SSD,Tecnología,4,1127.44,4509.76,PayPal
162,2023-09-06,Sancho Reina,Guipúzcoa,Teclado,Periféricos,1,380.7,380.7,Tarjeta
163,2023-12-23,Clotilde Salcedo,La Coruña,Teclado,Tecnología,2,1506.13,3012.26,Tarjeta
164,2023-10-15,Ovidio Benavides Múgica,Soria,Mouse,Oficina,1,1892.34,1892.34,Transferencia
165,2025-02-03,Valentín del Sarmiento,Huelva,Auriculares,Accesorios,2,1571.43,3142.86,Transferencia
166,2024-05-16,Luciana Arnaiz-Costa,Almería,Laptop,Oficina,2,1214.36,2428.72,Efectivo
167,2023-01-19,Clemente Ibañez Marco,Valladolid,Auriculares,Accesorios,2,239.04,478.08,Tarjeta
168,2024-07-31,Bernardino Reig Pujol,Palencia,Teclado,Accesorios,10,1316.84,13168.4,Efectivo
169,2024-04-09,Angelina del Roldán,Tarragona,Laptop,Tecnología,10,1483.02,14830.2,Efectivo
170,2024-01-11,Lope Juan Burgos,Sevilla,Teclado,Tecnología,1,899.59,899.59,Transferencia
171,2023-04-20,Casandra Macías Diego,Castellón,Disco SSD,Tecnología,6,2435.53,14613.18,Transferencia
172,2024-09-03,Rosalía Millán Guillen,Soria,Monitor,Periféricos,5,270.45,1352.25,Transferencia
173,2023-07-20,Jacinta Martinez Artigas,Madrid,Monitor,Periféricos,2,2388.69,4777.38,PayPal
174,2023-08-30,Amílcar Tudela Priego,Cádiz,Mouse,Tecnología,2,2282.06,4564.12,Tarjeta
175,2023-05-10,Julián Pulido Múgica,Cuenca,Auriculares,Periféricos,9,1667.15,15004.35,Efectivo
176,2025-02-06,Ildefonso Collado,Barcelona,Disco SSD,Periféricos,7,274.61,1922.27,Efectivo
177,2023-08-03,Guadalupe Porcel,Cuenca,Monitor,Periféricos,1,37.22,37.22,PayPal
178,2023-02-13,Dulce Castelló Peláez,Guadalajara,Laptop,Accesorios,6,2077.72,12466.32,PayPal
179,2024-07-05,Jose Ramón Julián Gámez,Huelva,Impresora,Oficina,8,475.85,3806.8,Efectivo
180,2025-04-25,Gala Egea Lopez,Albacete,Mouse,Periféricos,4,2337.86,9351.44,Transferencia
181,2023-03-20,Aurelio Puerta,Zamora,Teclado,Periféricos,4,2153.08,8612.32,PayPal
182,2024-12-16,Florentina Hervia Méndez,Burgos,Auriculares,Accesorios,8,1633.03,13064.24,PayPal
183,2024-03-12,Albino Bejarano Pou,Córdoba,Impresora,Oficina,3,2190.79,6572.37,Efectivo
184,2023-11-20,Asdrubal Becerra,Alicante,Auriculares,Tecnología,6,1000.64,6003.84,Efectivo
185,2024-04-05,Ezequiel Gallego Tenorio,Cantabria,Tablet,Tecnología,9,1499.9,13499.1,Efectivo
186,2025-03-08,Sigfrido Bru,Baleares,Impresora,Periféricos,6,2011.04,12066.24,Tarjeta
187,2025-02-06,Ramón Machado-Elías,Asturias,Teclado,Accesorios,3,2212.86,6638.58,Efectivo
188,2023-12-21,Rosario Tormo Haro,Granada,Teclado,Accesorios,7,1630.57,11413.99,Transferencia
189,2023-03-19,Amaro Gomila Mateo,Baleares,Webcam,Tecnología,6,895.64,5373.84,Tarjeta
190,2024-04-29,Miguel Ángel Cerro Belmonte,Cádiz,Impresora,Tecnología,1,693.28,693.28,Transferencia
191,2023-08-02,Ángel Cid Sandoval,Jaén,Memoria RAM,Accesorios,2,636.92,1273.84,Tarjeta
192,2024-11-17,Carmelita Rovira Iriarte,Melilla,Monitor,Tecnología,4,778.52,3114.08,PayPal
193,2024-12-26,Amarilis Amor Baños Vega,Teruel,Memoria RAM,Oficina,2,240.44,480.88,Tarjeta
194,2023-09-07,Ernesto Marqués Uribe,Pontevedra,Laptop,Accesorios,4,2090.28,8361.12,Transferencia
195,2024-08-26,Benjamín Ayllón-Barba,Huelva,Laptop,Periféricos,1,1608.34,1608.34,PayPal
196,2023-05-23,Alberto Bernad Galvez,Ávila,Auriculares,Tecnología,3,1275.74,3827.22,Transferencia
197,2025-03-11,Sofía Uribe Porcel,Granada,Tablet,Periféricos,8,146.75,1174.0,PayPal
198,2024-08-20,Dominga Solano-Escrivá,Barcelona,Disco SSD,Accesorios,2,314.58,629.16,Transferencia
199,2025-04-05,Daniela Madrigal,Asturias,Tablet,Accesorios,10,437.29,4372.9,Efectivo
200,2025-01-18,Alfredo Roberto Ruano Valencia,León,Impresora,Tecnología,7,1943.75,13606.25,PayPal
201,2023-06-14,Guiomar Nebot Martí,Valladolid,Webcam,Accesorios,1,920.01,920.01,Tarjeta
202,2023-06-17,Sofía de Barragán,Navarra,Teclado,Accesorios,7,1087.6,7613.2,Transferencia
203,2025-03-23,Raimundo Goñi Quintero,Murcia,Laptop,Tecnología,8,1128.06,9024.48,Transferencia
204,2024-12-09,Florina del Amo,Badajoz,Laptop,Periféricos,1,2355.99,2355.99,Efectivo
205,2024-04-24,Domitila Melero Mulet,Teruel,Disco SSD,Accesorios,4,1723.87,6895.48,Efectivo
206,2024-03-03,Ale de Moraleda,Zamora,Impresora,Periféricos,2,598.69,1197.38,Tarjeta
207,2023-09-01,Martin Pacheco Rodríguez,Almería,Webcam,Tecnología,9,1167.99,10511.91,Tarjeta
208,2024-02-05,Cirino Simó,Huesca,Teclado,Periféricos,6,2123.25,12739.5,Transferencia
209,2023-12-25,Roberto Ferreras Urrutia,Segovia,Auriculares,Oficina,4,351.77,1407.08,Efectivo
210,2023-06-14,Morena Adela Palacio Bravo,Zaragoza,Teclado,Accesorios,2,2036.04,4072.08,PayPal
211,2023-07-05,Emiliano Conesa Collado,Soria,Webcam,Accesorios,3,2480.88,7442.64,Efectivo
212,2024-03-11,Lucila Porras,Soria,Disco SSD,Periféricos,1,1968.8,1968.8,Tarjeta
213,2024-03-03,Ale Roma Pinedo,Navarra,Disco SSD,Oficina,6,1993.72,11962.32,Efectivo
214,2024-04-20,Chita Fuente Luna,León,Impresora,Accesorios,7,2010.04,14070.28,Tarjeta
215,2024-09-02,Lalo Briones Sastre,Sevilla,Tablet,Accesorios,3,2488.46,7465.38,Tarjeta
216,2024-02-07,Vinicio Cuadrado Rosa,Ceuta,Monitor,Tecnología,6,2058.75,12352.5,PayPal
217,2025-01-01,Eduardo Melchor Tenorio Hernando,Navarra,Monitor,Tecnología,3,1366.43,4099.29,Transferencia
218,2023-06-21,Emiliana Mariscal Mir,Ciudad,Tablet,Tecnología,7,1632.41,11426.87,PayPal
219,2023-10-27,Tania Gascón Rodríguez,Santa Cruz de Tenerife,Tablet,Periféricos,9,2314.57,20831.13,Efectivo
220,2024-12-10,Paloma Amat Gálvez,Zamora,Monitor,Tecnología,3,1334.68,4004.04,Efectivo
221,2023-07-03,Delfina Pacífica Perea Blanes,Santa Cruz de Tenerife,Webcam,Accesorios,10,1660.8,16608.0,Efectivo
222,2023-12-30,Adolfo Escrivá Vallés,Zamora,Memoria RAM,Accesorios,2,355.49,710.98,Transferencia
223,2024-11-02,Rafael de Piñeiro,Jaén,Tablet,Periféricos,2,574.54,1149.08,Transferencia
224,2024-05-19,Cintia Alvarez,Baleares,Impresora,Periféricos,3,2272.6,6817.8,Efectivo
225,2024-12-08,Esmeralda Boada Saura,Zaragoza,Mouse,Accesorios,8,1608.29,12866.32,Transferencia
226,2024-06-25,Consuelo Olmo Machado,Zamora,Impresora,Periféricos,8,2477.71,19821.68,Tarjeta
227,2024-04-07,Ciro Manjón-Tamarit,Segovia,Disco SSD,Periféricos,10,325.1,3251.0,Efectivo
228,2024-09-02,Nico Nevado,Alicante,Teclado,Tecnología,1,1832.92,1832.92,PayPal
229,2024-08-10,Gaspar Pujol,Ciudad,Tablet,Tecnología,3,394.42,1183.26,PayPal
230,2024-06-26,Candela Acosta Lorenzo,Granada,Tablet,Accesorios,9,1068.74,9618.66,Transferencia
231,2024-04-02,Juan del Puerta,Girona,Mouse,Accesorios,5,831.55,4157.75,Tarjeta
232,2023-06-30,Purificación Prats Martorell,León,Auriculares,Accesorios,1,1742.84,1742.84,Transferencia
233,2023-04-20,Regina Priego Cervera,Teruel,Webcam,Oficina,3,2113.37,6340.11,PayPal
234,2023-09-05,Nilo Pujadas Sandoval,Melilla,Monitor,Periféricos,1,1896.84,1896.84,Efectivo
235,2024-09-16,Rómulo del Solsona,Guipúzcoa,Tablet,Oficina,1,1212.85,1212.85,PayPal
236,2024-01-20,Felisa Castrillo Parejo,Las Palmas,Tablet,Oficina,9,639.56,5756.04,PayPal
237,2024-02-23,Vito Capdevila Clavero,Burgos,Monitor,Tecnología,7,2124.62,14872.34,Efectivo
238,2024-02-18,Félix Ciro Solé Mesa,Huesca,Mouse,Oficina,3,1645.87,4937.61,Transferencia
239,2024-03-20,Alberto Agudo Guzman,Lleida,Disco SSD,Tecnología,3,786.08,2358.24,PayPal
240,2023-07-18,Artemio Luna Jordá,Barcelona,Impresora,Oficina,1,58.22,58.22,Transferencia
241,2023-07-09,Lalo Velasco Guzman,Baleares,Auriculares,Periféricos,2,1250.43,2500.86,Efectivo
242,2023-02-24,Marisol de Martí,Santa Cruz de Tenerife,Auriculares,Tecnología,6,41.52,249.12,Transferencia
243,2025-01-15,Calixta Cantón Bernat,Cantabria,Mouse,Accesorios,1,391.22,391.22,Tarjeta
244,2024-06-05,Remigio Segovia Marqués,Burgos,Teclado,Periféricos,8,2427.36,19418.88,Efectivo
245,2024-12-20,Dan Ramis Vila,Vizcaya,Disco SSD,Tecnología,6,862.38,5174.28,PayPal
246,2025-02-21,Teófilo Lasa Calvo,Cádiz,Auriculares,Periféricos,8,1408.54,11268.32,Tarjeta
247,2024-09-09,Marisela del Ugarte,Melilla,Auriculares,Tecnología,6,1170.36,7022.16,Tarjeta
